CODIGO ,PRODUTOS,PRECIO
17470031,A. ISCA INNA  70 031 7cm 11g M. água,"3,25"
17470138,A. ISCA INNA  70 038HT 7cm 11g M. água,"3,25"
17470039,A. ISCA INNA  70 039 7cm 11gM. água,"3,25"
17470040,A. ISCA INNA  70 040 7cm 11g M. água,"3,25"
17470104,A. ISCA INNA  70 104 7cm 11g M. água,"3,25"
17470108,A. ISCA INNA  70 108 7cm 11g M. água,"3,25"
17470116,A. ISCA INNA  70 116 7cm 11g M. água,"3,25"
17470450,A. ISCA INNA  70 450 7cm 11g M. água,"3,25"
17470001,A. ISCA INNA  70 HGT 7cm 11g M. água,"3,25"
17470003,A. ISCA INNA  70 HOT 7cm 11g M. água,"3,25"
17470008,A. ISCA INNA  70 HPT 7cm 11g M. água,"3,25"
17470000,A. ISCA INNA  70 HWT 7cm 11g M. água,"3,25"
17470007,A. ISCA INNA  70 WOT 7cm 11g M. água,"3,25"
17490002,A. ISCA INNA  90  002  9cm 16g M. água,"3,50"
17450148,A. ISCA INNA  90  022 9cm 16g M. água,"3,50"
17450149,A. ISCA INNA  90  032 9cm 16g M. água,"3,50"
17450150,A. ISCA INNA  90  BCT66 9cm 16g M. água,"3,50"
17450151,A. ISCA INNA  90  N03 9cm 16g M. água,"3,50"
17450152,A. ISCA INNA  90  N08 9cm 16g M. água,"3,50"
17450153,A. ISCA INNA  90  T001 9cm 16g M. água,"3,50"
